ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,token
IG II²,113,2331,"[ ]
Att. — stoich. 19 — 362/1

See also:
IG II³,1 363Schwenk, Athens 60SEG 39:91",Athens,362,361,FALSE,TRUE,TRUE,400,400,400,αυτοις
IG II²,223,2441,"[ ]
Att. — non-stoich. — 343/2 — IG II² 223 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 306Agora XV 34",Athens,343,342,FALSE,TRUE,TRUE,400,400,400,αυτοις
IG II²,223,2441,"[ ]
Att. — non-stoich. — 343/2 — IG II² 223 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 306Agora XV 34",Athens,343,342,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,223,2441,"[ ]
Att. — non-stoich. — 343/2 — IG II² 223 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 306Agora XV 34",Athens,343,342,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,237,2455,"[ ]
Att. — stoich. 41 — 338/7 — IG II² 237 Add. (pt. 1.2 p. 659)

See also:
SEG 17:24Schwenk, Athens 1IG II³,1 316SEG 31:76SEG 21:266",Athens,338,337,FALSE,TRUE,TRUE,400,400,400,αυτοις
IG II²,237,2455,"[ ]
Att. — stoich. 41 — 338/7 — IG II² 237 Add. (pt. 1.2 p. 659)

See also:
SEG 17:24Schwenk, Athens 1IG II³,1 316SEG 31:76SEG 21:266",Athens,338,337,FALSE,TRUE,TRUE,400,400,400,αυτων
IG II²,237,2455,"[ ]
Att. — stoich. 41 — 338/7 — IG II² 237 Add. (pt. 1.2 p. 659)

See also:
SEG 17:24Schwenk, Athens 1IG II³,1 316SEG 31:76SEG 21:266",Athens,338,337,FALSE,TRUE,TRUE,400,400,400,αυτων
IG II²,238,2456,"[ ]
Att. — stoich. 24 — 338/7

See also:
IG II³,1 317Schwenk, Athens 2SEG 17:25",Athens,338,337,FALSE,TRUE,TRUE,400,400,400,αυτοις
IG II²,243,2461,"[ ]
Att. — stoich. 29 — 337/6

See also:
IG II³,1 325Schwenk, Athens 11",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,244,2462,"[ ]
Att. — stoich. 110 — 337/6

See also:
IG II³,1 429Schwenk, Athens 3SEG 19:57SEG 35:62",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,αυτων
IG II²,244,2462,"[ ]
Att. — stoich. 110 — 337/6

See also:
IG II³,1 429Schwenk, Athens 3SEG 19:57SEG 35:62",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,αυτων
IG II²,244,2462,"[ ]
Att. — stoich. 110 — 337/6

See also:
IG II³,1 429Schwenk, Athens 3SEG 19:57SEG 35:62",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,αυτοι
IG II²,244,2462,"[ ]
Att. — stoich. 110 — 337/6

See also:
IG II³,1 429Schwenk, Athens 3SEG 19:57SEG 35:62",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,276,2494,"[ ]
Att. — stoich. 31 — ante 336/5

See also:
IG II³,1 418Schwenk, Athens 12",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,αυτωι
IG II²,289,2506,"[ ]
Att. — stoich. 26 — ante 336/5

See also:
Schwenk, Athens 87SEG 39:75",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,αυτωι
IG II²,304,2521,"[ ]
Att. — stoich. 30 — ante 336/5

See also:
Schwenk, Athens 14MDAI(A) 67 (1942) 6,3SEG 18:11",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,αυτοι
IG II²,304,2521,"[ ]
Att. — stoich. 30 — ante 336/5

See also:
Schwenk, Athens 14MDAI(A) 67 (1942) 6,3SEG 18:11",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,αυτων
IG II²,333,2550,"[ ]
Att. — stoich. — 335/4

See also:
IG II³,1 445Schwenk, Athens 21",Athens,335,334,FALSE,TRUE,TRUE,400,400,400,αυτων
IG II²,337,2554,"[ ]
Att. — stoich. 20 — 333/2

See also:
IG II³,1 337Schwenk, Athens 27",Athens,333,332,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,343,2560,"[ ]
Att. — stoich. 36-38 — c. 332/1? — IG II² 343 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 379Schwenk, Athens 84SEG 24:103",Athens,332,331,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,351,2568,"[ ]
Att. — stoich. 19-25 — 330/29 — IG II² 351 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 352Schwenk, Athens 48SEG 21:283SEG 24:99",Athens,330,329,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,354,2571,"[ ]
Att. — stoich. 34 — 328/7

See also:
Schwenk, Athens 54SEG 18:14SEG 21:285",Athens,328,327,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,354,2571,"[ ]
Att. — stoich. 34 — 328/7

See also:
Schwenk, Athens 54SEG 18:14SEG 21:285",Athens,328,327,FALSE,TRUE,TRUE,400,400,400,αυτωι
IG II²,360,2577,"[ ]
Att. — stoich. 39 — 325/4 — IG II² 360 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 367Schwenk, Athens 68",Athens,325,324,FALSE,TRUE,TRUE,400,400,400,αυτοις
IG II²,360,2577,"[ ]
Att. — stoich. 39 — 325/4 — IG II² 360 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 367Schwenk, Athens 68",Athens,325,324,FALSE,TRUE,TRUE,400,400,400,αυτων
IG II²,360,2577,"[ ]
Att. — stoich. 39 — 325/4 — IG II² 360 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 367Schwenk, Athens 68",Athens,325,324,FALSE,TRUE,TRUE,400,400,400,αυτωι
