ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,token,data_type,simplex
IG II²,140,2358,"[ ]
Att. — stoich. 26 — 353/2 — cf. IG II² 140 Add. (pt. 1.2 p. 658)

See also:
SEG 3:78SEG 45:56SEG 44:37SEG 21:253I.Eleusis 142",Eleusis,353,352,FALSE,TRUE,TRUE,400,400,400,στηλης,η,1
IG II²,223,2441,"[ ]
Att. — non-stoich. — 343/2 — IG II² 223 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 306Agora XV 34",Athens,343,342,FALSE,TRUE,TRUE,400,400,400,στηληι,η,1
IG II²,238,2456,"[ ]
Att. — stoich. 24 — 338/7

See also:
IG II³,1 317Schwenk, Athens 2SEG 17:25",Athens,338,337,FALSE,TRUE,TRUE,400,400,400,στηλην,η,1
IG II²,304,2521,"[ ]
Att. — stoich. 30 — ante 336/5

See also:
Schwenk, Athens 14MDAI(A) 67 (1942) 6,3SEG 18:11",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,στηληι,η,1
IG II²,304,2521,"[ ]
Att. — stoich. 30 — ante 336/5

See also:
Schwenk, Athens 14MDAI(A) 67 (1942) 6,3SEG 18:11",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,στηλης,η,1
IG II²,330,2547,"[ ]
Att. — stoich. 46 — 335/4

See also:
IG II³,1 327Schwenk, Athens 18",Athens,335,334,FALSE,TRUE,TRUE,400,400,400,στηλης,η,1
IG II²,338,2555,"[ ]
Att. — stoich. 35 — 333/2

See also:
IG II³,1 338Schwenk, Athens 28Epigr. tou Oropou 295",Athens,333,332,FALSE,TRUE,TRUE,400,400,400,στηλας,η,1
IG II²,338,2555,"[ ]
Att. — stoich. 35 — 333/2

See also:
IG II³,1 338Schwenk, Athens 28Epigr. tou Oropou 295",Athens,333,332,FALSE,TRUE,TRUE,400,400,400,στηλης,η,1
IG II²,343,2560,"[ ]
Att. — stoich. 36-38 — c. 332/1? — IG II² 343 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 379Schwenk, Athens 84SEG 24:103",Athens,332,331,FALSE,TRUE,TRUE,400,400,400,στηλης,η,1
IG II²,344,2561,"[ ]
Att. — stoich. 23 — 332/1

See also:
SEG 21:279SEG 3:84aIG II³,1 342SEG 32:92aSchwenk, Athens 33",Athens,332,331,FALSE,TRUE,TRUE,400,400,400,στηλης,η,1
IG II²,351,2568,"[ ]
Att. — stoich. 19-25 — 330/29 — IG II² 351 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 352Schwenk, Athens 48SEG 21:283SEG 24:99",Athens,330,329,FALSE,TRUE,TRUE,400,400,400,στηλη,η,1
IG II²,354,2571,"[ ]
Att. — stoich. 34 — 328/7

See also:
Schwenk, Athens 54SEG 18:14SEG 21:285",Athens,328,327,FALSE,TRUE,TRUE,400,400,400,στηληι,η,1
IG II²,354,2571,"[ ]
Att. — stoich. 34 — 328/7

See also:
Schwenk, Athens 54SEG 18:14SEG 21:285",Athens,328,327,FALSE,TRUE,TRUE,400,400,400,στηλης,η,1
IG II²,360,2577,"[ ]
Att. — stoich. 39 — 325/4 — IG II² 360 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 367Schwenk, Athens 68",Athens,325,324,FALSE,TRUE,TRUE,400,400,400,στηληι,η,1
IG II²,360,2577,"[ ]
Att. — stoich. 39 — 325/4 — IG II² 360 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 367Schwenk, Athens 68",Athens,325,324,FALSE,TRUE,TRUE,400,400,400,στηλης,η,1
IG II²,373,2590,"[ ]
Att. — stoich. 33-39 — 322/1

See also:
IG II³,1 324SEG 21:301SEG 40:74Schwenk, Athens 88SEG 24:105",Athens,322,321,FALSE,TRUE,TRUE,400,400,400,στηληι,η,1
